Player_Name,Year,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
Vihaan Malhotra,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
Vipraj Nigam,2025,14,1,142,39,20.29,79,179.75,0,0,15,8,3,0,14,234,356,11,Feb-18,32.36,9.13,21.27,0,0
Virat Kohli,2025,15,3,657,73*,54.75,454,144.71,0,8,66,19,3,0,15,0,0,0,0,0,0,0,0,0
Virat Kohli,2024,15,3,741,113*,61.75,479,154.7,1,5,62,38,8,0,15,0,0,0,0,0,0,0,0,0
Virat Kohli,2023,14,2,639,101*,53.25,457,139.82,2,6,65,16,13,0,14,0,0,0,0,0,0,0,0,0
Virat Kohli,2022,16,1,341,73,22.73,294,115.99,0,2,32,8,9,0,16,0,0,0,0,0,0,0,0,0
Virat Kohli,2021,15,1,405,72*,28.92,339,119.46,0,3,43,9,8,0,15,0,0,0,0,0,0,0,0,0
Virat Kohli,2020,15,4,466,90*,42.36,384,121.35,0,3,23,11,3,0,15,0,0,0,0,0,0,0,0,0
Virat Kohli,2019,14,0,464,100,33.14,328,141.46,1,2,46,13,5,0,14,0,0,0,0,0,0,0,0,0
Virat Kohli,2018,14,3,530,92*,48.18,381,139.1,0,4,52,18,8,0,14,0,0,0,0,0,0,0,0,0
Virat Kohli,2017,10,0,308,64,30.8,252,122.22,0,4,23,11,6,0,10,0,0,0,0,0,0,0,0,0
Virat Kohli,2016,16,4,973,113,81.08,640,152.03,4,7,83,38,6,0,16,6,13,0,0/13,0,13,0,0,0
Virat Kohli,2015,16,5,505,82*,45.9,386,130.82,0,3,35,23,7,0,16,11,10,0,0/4,0,5.45,0,0,0
Virat Kohli,2014,14,1,359,73,27.61,294,122.1,0,2,23,16,7,0,14,0,0,0,0,0,0,0,0,0
Virat Kohli,2013,16,2,634,99,45.28,457,138.73,0,6,64,22,7,0,16,0,0,0,0,0,0,0,0,0
Virat Kohli,2012,16,2,364,73*,28,326,111.65,0,2,33,9,7,0,16,18,49,0,0/13,0,16.33,0,0,0
Virat Kohli,2011,16,4,557,71,46.41,460,121.08,0,4,55,16,7,0,16,102,139,2,01-Aug,69.5,8.17,51,0,0
Virat Kohli,2010,16,2,307,58,27.9,212,144.81,0,1,26,12,3,0,16,32,50,0,0/1,0,9.37,0,0,0
Virat Kohli,2009,16,2,246,50,22.36,219,112.32,0,1,22,8,9,0,16,36,46,0,0/9,0,7.66,0,0,0
Virat Kohli,2008,13,1,165,38,15,157,105.09,0,0,18,4,2,0,13,46,61,2,Feb-25,30.5,7.95,23,0,0
Vishal Nishad,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
Vishnu Vinod,2023,3,0,37,30,12.33,31,119.35,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0
Vishnu Vinod,2017,3,0,19,9,6.33,26,73.07,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0
Vyshak Vijaykumar,2025,5,0,0,0,0,0,0,0,0,0,0,1,0,5,102,181,4,Feb-44,45.25,10.65,25.5,0,0
Vyshak Vijaykumar,2024,4,1,1,1*,1,3,33.33,0,0,0,0,3,0,4,87,142,4,Feb-23,35.5,9.79,21.75,0,0
Vyshak Vijaykumar,2023,7,1,13,13*,13,9,144.44,0,0,0,1,1,0,7,144,253,9,Mar-20,28.11,10.54,16,0,0
Wanindu Hasaranga,2025,11,0,9,4,1.8,15,60,0,0,0,0,2,0,11,246,371,11,Apr-35,33.73,9.05,22.36,1,0
Wanindu Hasaranga,2023,8,3,33,12*,16.5,28,117.86,0,0,3,0,0,0,8,174,258,9,Feb-24,28.67,8.9,19.33,0,0
Wanindu Hasaranga,2022,16,0,38,18,5.43,43,88.37,0,0,4,1,3,0,16,342,430,26,May-18,16.54,7.54,13.15,1,1
Wanindu Hasaranga,2021,2,1,1,1*,1,2,50,0,0,0,0,0,0,2,36,60,0,0/20,0,10,0,0,0
Washington Sundar,2025,6,0,133,49,26.6,80,166.25,0,0,10,7,3,0,6,65,111,2,Jan-28,55.5,10.25,32.5,0,0
Washington Sundar,2024,2,1,0,0,0,1,0,0,0,0,0,0,0,2,30,73,1,Jan-46,73,14.6,30,0,0
Washington Sundar,2023,7,1,60,24*,15,60,100,0,0,6,0,2,0,7,106,146,3,Mar-28,48.67,8.26,35.33,0,0
Washington Sundar,2022,9,0,101,40,14.43,69,146.38,0,0,9,3,1,0,9,168,239,6,Feb-21,39.83,8.54,28,0,0
Washington Sundar,2021,6,0,31,10,7.75,47,65.95,0,0,2,0,2,0,6,96,118,3,01-Jul,39.33,7.37,32,0,0
